Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2000,6.46522,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2001,6.15944,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2003,3.95344,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2007,1.88806,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2008,1.75386,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2009,1.50913,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2010,1.44926,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2011,1.34375,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2012,1.30704,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2013,1.21288,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2014,1.10171,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2015,1.55167,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2016,1.27917,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2017,1.35322,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_REPP_L2,_T,_T,_T,_T,2018,1.02076,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2002,0.31155,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2003,0.30505,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2004,0.26029,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2005,0.25664,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2006,0.28336,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2007,0.25375,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2008,0.11844,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2009,0.17378,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2014,0.31596,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2016,0.42808,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2017,0.21286,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_REPP_L2,_T,_T,_T,_T,2018,0.20756,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,1999,0.85600,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2000,0.92264,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2001,0.77918,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2002,0.63453,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2003,0.73596,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2004,0.61791,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2005,0.60008,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2006,0.56657,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2007,0.57656,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2008,0.69824,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2009,0.70178,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2010,0.65408,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2011,2.04506,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2012,1.71071,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2013,1.40064,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2014,0.93799,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2015,0.33950,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2016,0.25069,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2017,0.15451,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_REPP_L2,_T,_T,_T,_T,2018,0.28465,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2010,0.34405,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2011,0.34638,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2012,0.35591,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2013,0.37161,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2014,0.33803,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2015,0.32864,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2016,0.31668,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2017,0.26694,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_REPP_L2,_T,_T,_T,_T,2018,0.32533,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,1999,3.15565,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2001,2.07759,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2002,2.22740,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2003,2.21911,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2004,2.41191,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2005,2.61586,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2006,2.67695,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2007,2.84702,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2008,2.86048,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2009,2.77550,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2010,2.52682,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2011,2.18040,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2012,2.22225,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2013,2.33649,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2014,2.57106,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_REPP_L2,_T,_T,_T,_T,2015,3.31171,PCNT,,A,UIS: EDUNF_REPP_L2,0,A
